DateTime,Date,Time,Open,High,Low,Close,Volume,StockCode
2025-08-31 15:30:00,2025-08-31,15:30,105800.0,105800.0,105800.0,105800.0,409260,000270
2025-08-31 15:29:00,2025-08-31,15:29,106200.0,106200.0,106200.0,106200.0,0,000270
2025-08-31 15:28:00,2025-08-31,15:28,106200.0,106200.0,106200.0,106200.0,0,000270
2025-08-31 15:27:00,2025-08-31,15:27,106200.0,106200.0,106200.0,106200.0,0,000270
2025-08-31 15:26:00,2025-08-31,15:26,106200.0,106200.0,106200.0,106200.0,0,000270
2025-08-31 15:25:00,2025-08-31,15:25,106200.0,106200.0,106200.0,106200.0,0,000270
2025-08-31 15:24:00,2025-08-31,15:24,106200.0,106200.0,106200.0,106200.0,0,000270
2025-08-31 15:23:00,2025-08-31,15:23,106200.0,106200.0,106200.0,106200.0,0,000270
2025-08-31 15:22:00,2025-08-31,15:22,106200.0,106200.0,106200.0,106200.0,0,000270
2025-08-31 15:21:00,2025-08-31,15:21,106200.0,106200.0,106200.0,106200.0,0,000270
2025-08-31 15:20:00,2025-08-31,15:20,106200.0,106200.0,106200.0,106200.0,0,000270
2025-08-31 15:19:00,2025-08-31,15:19,105800.0,106200.0,105800.0,106200.0,4340,000270
2025-08-31 15:18:00,2025-08-31,15:18,105800.0,105900.0,105800.0,105900.0,1768,000270
2025-08-31 15:17:00,2025-08-31,15:17,105900.0,105900.0,105800.0,105900.0,1352,000270
2025-08-31 15:16:00,2025-08-31,15:16,105700.0,105900.0,105700.0,105800.0,9196,000270
2025-08-31 15:15:00,2025-08-31,15:15,105700.0,105800.0,105700.0,105800.0,2267,000270
2025-08-31 15:14:00,2025-08-31,15:14,105800.0,105800.0,105700.0,105700.0,1954,000270
2025-08-31 15:13:00,2025-08-31,15:13,105800.0,105900.0,105700.0,105800.0,2252,000270
2025-08-31 15:12:00,2025-08-31,15:12,105800.0,105900.0,105800.0,105800.0,1676,000270
2025-08-31 15:11:00,2025-08-31,15:11,105900.0,105900.0,105800.0,105800.0,819,000270
2025-08-31 15:10:00,2025-08-31,15:10,105800.0,105900.0,105800.0,105800.0,1657,000270
2025-08-31 15:09:00,2025-08-31,15:09,105900.0,105900.0,105800.0,105900.0,1457,000270
2025-08-31 15:08:00,2025-08-31,15:08,105900.0,105900.0,105800.0,105900.0,1211,000270
2025-08-31 15:07:00,2025-08-31,15:07,105800.0,105900.0,105800.0,105800.0,1467,000270
2025-08-31 15:06:00,2025-08-31,15:06,105800.0,105900.0,105800.0,105900.0,1073,000270
2025-08-31 15:05:00,2025-08-31,15:05,105900.0,105900.0,105800.0,105800.0,702,000270
2025-08-31 15:04:00,2025-08-31,15:04,105900.0,106000.0,105800.0,105800.0,2500,000270
2025-08-31 15:03:00,2025-08-31,15:03,106000.0,106000.0,105900.0,106000.0,1072,000270
2025-08-31 15:02:00,2025-08-31,15:02,106000.0,106000.0,105900.0,106000.0,1076,000270
2025-08-31 15:01:00,2025-08-31,15:01,105900.0,106000.0,105900.0,105900.0,831,000270
