DateTime,Date,Time,Open,High,Low,Close,Volume,StockCode
2025-08-23 15:30:00,2025-08-23,15:30,71400.0,71400.0,71400.0,71400.0,1316634,005930
2025-08-23 15:29:00,2025-08-23,15:29,71400.0,71400.0,71400.0,71400.0,0,005930
2025-08-23 15:28:00,2025-08-23,15:28,71400.0,71400.0,71400.0,71400.0,0,005930
2025-08-23 15:27:00,2025-08-23,15:27,71400.0,71400.0,71400.0,71400.0,0,005930
2025-08-23 15:26:00,2025-08-23,15:26,71400.0,71400.0,71400.0,71400.0,0,005930
2025-08-23 15:25:00,2025-08-23,15:25,71400.0,71400.0,71400.0,71400.0,0,005930
2025-08-23 15:24:00,2025-08-23,15:24,71400.0,71400.0,71400.0,71400.0,0,005930
2025-08-23 15:23:00,2025-08-23,15:23,71400.0,71400.0,71400.0,71400.0,0,005930
2025-08-23 15:22:00,2025-08-23,15:22,71400.0,71400.0,71400.0,71400.0,0,005930
2025-08-23 15:21:00,2025-08-23,15:21,71400.0,71400.0,71400.0,71400.0,0,005930
2025-08-23 15:20:00,2025-08-23,15:20,71400.0,71400.0,71400.0,71400.0,0,005930
2025-08-23 15:19:00,2025-08-23,15:19,71300.0,71400.0,71200.0,71400.0,62369,005930
2025-08-23 15:18:00,2025-08-23,15:18,71300.0,71300.0,71200.0,71300.0,38353,005930
2025-08-23 15:17:00,2025-08-23,15:17,71200.0,71300.0,71200.0,71300.0,14569,005930
2025-08-23 15:16:00,2025-08-23,15:16,71300.0,71300.0,71200.0,71200.0,37195,005930
2025-08-23 15:15:00,2025-08-23,15:15,71200.0,71300.0,71200.0,71300.0,10831,005930
2025-08-23 15:14:00,2025-08-23,15:14,71300.0,71300.0,71200.0,71300.0,21525,005930
2025-08-23 15:13:00,2025-08-23,15:13,71300.0,71300.0,71200.0,71300.0,8235,005930
2025-08-23 15:12:00,2025-08-23,15:12,71300.0,71300.0,71200.0,71200.0,27352,005930
2025-08-23 15:11:00,2025-08-23,15:11,71300.0,71300.0,71200.0,71300.0,26487,005930
2025-08-23 15:10:00,2025-08-23,15:10,71200.0,71300.0,71200.0,71300.0,9965,005930
2025-08-23 15:09:00,2025-08-23,15:09,71300.0,71300.0,71200.0,71300.0,24183,005930
2025-08-23 15:08:00,2025-08-23,15:08,71300.0,71300.0,71200.0,71300.0,8299,005930
2025-08-23 15:07:00,2025-08-23,15:07,71200.0,71300.0,71200.0,71200.0,8743,005930
2025-08-23 15:06:00,2025-08-23,15:06,71200.0,71300.0,71200.0,71300.0,7337,005930
2025-08-23 15:05:00,2025-08-23,15:05,71200.0,71300.0,71200.0,71300.0,10567,005930
2025-08-23 15:04:00,2025-08-23,15:04,71300.0,71300.0,71200.0,71200.0,7843,005930
2025-08-23 15:03:00,2025-08-23,15:03,71200.0,71300.0,71200.0,71200.0,7306,005930
2025-08-23 15:02:00,2025-08-23,15:02,71300.0,71300.0,71200.0,71300.0,4385,005930
2025-08-23 15:01:00,2025-08-23,15:01,71200.0,71300.0,71200.0,71300.0,3685,005930
